period	format	url
2011	xls	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2011/FFSPreglediNaprav.xls
2011	txt	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2011/FFSPreglediNaprav.txt
2011	xml	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2011/FFSPreglediNaprav.xml
2011	xsd	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2011/FFSPreglediNaprav.xsd
2010	xls	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2010/FFSPreglediNaprav.xls
2010	txt	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2010/FFSPreglediNaprav.txt
2010	xml	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2010/FFSPreglediNaprav.xml
2010	xsd	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2010/FFSPreglediNaprav.xsd
2009	xls	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2009/FFSPreglediNaprav.xls
2009	txt	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2009/FFSPreglediNaprav.txt
2009	xml	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2009/FFSPreglediNaprav.xml
2009	xsd	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2009/FFSPreglediNaprav.xsd
2008	xls	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2008/FFSPreglediNaprav.xls
2008	txt	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2008/FFSPreglediNaprav.txt
2008	xml	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2008/FFSPreglediNaprav.xml
2008	xsd	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2008/FFSPreglediNaprav.xsd
2007	xls	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2007/FFSPreglediNaprav.xls
2007	txt	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2007/FFSPreglediNaprav.txt
2007	xml	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2007/FFSPreglediNaprav.xml
2007	xsd	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2007/FFSPreglediNaprav.xsd
2006	xls	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2006/FFSPreglediNaprav.xls
2006	txt	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2006/FFSPreglediNaprav.txt
2006	xml	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2006/FFSPreglediNaprav.xml
2006	xsd	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2006/FFSPreglediNaprav.xsd
2005	xls	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2005/FFSPreglediNaprav.xls
2005	txt	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2005/FFSPreglediNaprav.txt
2005	xml	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2005/FFSPreglediNaprav.xml
2005	xsd	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2005/FFSPreglediNaprav.xsd
2004	xls	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2004/FFSPreglediNaprav.xls
2004	txt	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2004/FFSPreglediNaprav.txt
2004	xml	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2004/FFSPreglediNaprav.xml
2004	xsd	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2004/FFSPreglediNaprav.xsd
2003	xls	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2003/FFSPreglediNaprav.xls
2003	txt	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2003/FFSPreglediNaprav.txt
2003	xml	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2003/FFSPreglediNaprav.xml
2003	xsd	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2003/FFSPreglediNaprav.xsd
2002	xls	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2002/FFSPreglediNaprav.xls
2002	txt	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2002/FFSPreglediNaprav.txt
2002	xml	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2002/FFSPreglediNaprav.xml
2002	xsd	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2002/FFSPreglediNaprav.xsd
2001	xls	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2001/FFSPreglediNaprav.xls
2001	txt	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2001/FFSPreglediNaprav.txt
2001	xml	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2001/FFSPreglediNaprav.xml
2001	xsd	https://Spletni2.furs.gov.si/FFS/FFSNaprave/2001/FFSPreglediNaprav.xsd
Do2000	xls	https://Spletni2.furs.gov.si/FFS/FFSNaprave/Do2000/FFSPreglediNaprav.xls
Do2000	txt	https://Spletni2.furs.gov.si/FFS/FFSNaprave/Do2000/FFSPreglediNaprav.txt
Do2000	xml	https://Spletni2.furs.gov.si/FFS/FFSNaprave/Do2000/FFSPreglediNaprav.xml
Do2000	xsd	https://Spletni2.furs.gov.si/FFS/FFSNaprave/Do2000/FFSPreglediNaprav.xsd
