"NapravaID";"StatusNaprave";"SkladnostNaprave";"ZadnjaStevilkaZnaka";"VeljavnostZnaka";"ZadnjiPregled";"VrstaNaprave";"Izdelovalec";"LetoIzdelave";"TipNaprave";"SerijskaStevilka";"LetoNakupa";"ObcinaStalnegaBivaliscaLastnika";"PregledID";"LetoPregleda";"DatumPregleda";"StevilkaZnaka";"SkladnostObPregledu";"StatRegijaMestaPregleda";"ObcinaMestaPregleda"
-10703821;"Aktivna";"da";188414;30.6.29 00:00:00;8.5.26 00:00:00;"Pršilnik";"AGROMEHANIKA D.D.";2009;"AGP 500 EN";"090031";;"Krško";455762;2026;8.5.26 00:00:00;188414;"da";"Posavska";"Krško"
-10703444;"Aktivna";"da";187858;30.6.29 00:00:00;22.4.26 00:00:00;"Pršilnik";"AGROMEHANIKA D.D.";2007;"AGS 1500 EN";"070001";;"Krško";455067;2026;22.4.26 00:00:00;187858;"da";"Posavska";"Krško"
-10611731;"Aktivna";"da";187872;30.6.29 00:00:00;22.4.26 00:00:00;"Pršilnik";"ZUPAN D.O.O.";2006;"ZM 300 S EN";"0000";;"Krško";455142;2026;22.4.26 00:00:00;187872;"da";"Posavska";"Krško"
-10703141;"Aktivna";"da";188419;30.6.29 00:00:00;8.5.26 00:00:00;"Pršilnik";"ZUPAN D.O.O.";1998;"ZM 200";"0000";;"Krško";455773;2026;8.5.26 00:00:00;188419;"da";"Posavska";"Krško"
-10702615;"Aktivna";"da";190332;30.6.29 00:00:00;4.5.26 00:00:00;"Pršilnik";"ZUPAN D.O.O.";2001;"ZM 200 EN";"0000";;"Krško";455405;2026;4.5.26 00:00:00;190332;"da";"Posavska";"Krško"
100707489;"Aktivna";"da";188401;30.6.29 00:00:00;8.5.26 00:00:00;"Škropilnica";"AGROMEHANIKA D. D.";2021;"AGS 400 EN/L";"10014087";;"Krško";455723;2026;8.5.26 00:00:00;188401;"da";"Posavska";"Krško"
100704253;"Aktivna";"da";188450;30.6.29 00:00:00;13.5.26 00:00:00;"Pršilnik";"AGROMEHANIKA D.D.";2018;"AGP 100 TN";"180047";2018;"Krško";456020;2026;13.5.26 00:00:00;188450;"da";"Posavska";"Krško"
-10703633;"Aktivna";"da";190395;30.6.29 00:00:00;13.5.26 00:00:00;"Škropilnica";"AGROMEHANIKA D.D.";2004;"AGS 200";"060011";;"Krško";456001;2026;13.5.26 00:00:00;190395;"da";"Posavska";"Krško"
-10704011;"Aktivna";"da";187862;30.6.29 00:00:00;22.4.26 00:00:00;"Škropilnica";"VREČEK AGRO D.O.O.";2010;"NTS 500";"1305";;"Krško";455084;2026;22.4.26 00:00:00;187862;"da";"Posavska";"Krško"
100706254;"Aktivna";"da";188403;30.6.29 00:00:00;8.5.26 00:00:00;"Pršilnik";"ZUPAN D.O.O.";2021;" ZM 300 ME EN";"006861";2021;"Krško";455732;2026;8.5.26 00:00:00;188403;"da";"Posavska";"Krško"
-10611645;"Aktivna";"da";188406;30.6.29 00:00:00;8.5.26 00:00:00;"Škropilnica";"AGROMEHANIKA D.D.";1984;"AGS 330";"0";;"Krško";455737;2026;8.5.26 00:00:00;188406;"da";"Posavska";"Krško"
100703890;"Aktivna";"da";188442;30.6.29 00:00:00;12.5.26 00:00:00;"Pršilnik";"aAGROMEHANIKA";1983;"AGP 300";"0000";;"Krško";455902;2026;12.5.26 00:00:00;188442;"da";"Posavska";"Krško"
-10703623;"Aktivna";"da";188433;30.6.29 00:00:00;12.5.26 00:00:00;"Škropilnica";"AGROMEHANIKA D.D.";1983;"AGS 300";"4438";;"Krško";455868;2026;12.5.26 00:00:00;188433;"da";"Posavska";"Krško"
-10702663;"Aktivna";"da";187899;30.6.29 00:00:00;24.4.26 00:00:00;"Škropilnica";"AGROMEHANIKA D.D.";2003;"AGS 400";"0000";;"Kostanjevica na Krki";455297;2026;24.4.26 00:00:00;187899;"da";"Posavska";"Kostanjevica na Krki"
-10704209;"Aktivna";"da";190310;30.6.29 00:00:00;24.4.26 00:00:00;"Pršilnik";"AGROMEHANIKA D.D.";2010;"AGP 200 EN";"100017";;"Kostanjevica na Krki";455323;2026;24.4.26 00:00:00;190310;"da";"Posavska";"Kostanjevica na Krki"
100712127;"Aktivna";"da";188918;30.6.29 00:00:00;19.5.26 00:00:00;"Pršilnik";"ZUPAN  D.O.O.";1999;"ZM 100";"1473";;"Brežice";456333;2026;19.5.26 00:00:00;188918;"da";"Posavska";"Brežice"
100711797;"Aktivna";"da";186250;30.6.29 00:00:00;17.3.26 00:00:00;"Pršilnik";"FRIULI SPRAYERS";2025;"APS 400/8";"CE25040204";;"Brežice";452550;2026;17.3.26 00:00:00;186250;"da";"Posavska";"Brežice"
-10700560;"Aktivna";"da";188462;30.6.29 00:00:00;14.5.26 00:00:00;"Škropilnica";"AGROMEHANIKA D.D.";1987;"AGS 330";"0000";;"Brežice";456114;2026;14.5.26 00:00:00;188462;"da";"Posavska";"Brežice"
-10700591;"Aktivna";"da";188920;30.6.29 00:00:00;19.5.26 00:00:00;"Pršilnik";"ZUPAN D.O.O.";2002;"ZM 350 E";"0000";;"Brežice";456337;2026;19.5.26 00:00:00;188920;"da";"Posavska";"Brežice"
100712128;"Aktivna";"da";188919;30.6.29 00:00:00;19.5.26 00:00:00;"Škropilnica";"AGROMEHANIKA";1995;"AGS 200";"0000";;"Brežice";456334;2026;19.5.26 00:00:00;188919;"da";"Posavska";"Brežice"
